"","compound","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","0.273 [ -0.004 ; 0.549 ]   *","0.122 [ -0.253 ; 0.497 ]   -","0.355 [ -0.134 ; 0.845 ]   -","0.178 [ -0.125 ; 0.481 ]   -","0.502 [ 0.185 ; 0.818 ]   **","0.928 [ -0.066 ; 1.923 ]   *","0.3 [ -0.267 ; 0.868 ]   -","0.628 [ -0.025 ; 1.281 ]   *"
"2","MEP","0.209 [ -0.073 ; 0.491 ]   -","0.034 [ -0.347 ; 0.416 ]   -","0.279 [ -0.219 ; 0.777 ]   -","-0.019 [ -0.327 ; 0.289 ]   -","0.112 [ -0.214 ; 0.438 ]   -","0.503 [ -0.51 ; 1.517 ]   -","0.015 [ -0.562 ; 0.593 ]   -","0.488 [ -0.177 ; 1.153 ]   -"
"3","MBzP","0.146 [ -0.155 ; 0.447 ]   -","-0.125 [ -0.531 ; 0.282 ]   -","-0.186 [ -0.717 ; 0.345 ]   -","-0.005 [ -0.333 ; 0.324 ]   -","-0.115 [ -0.463 ; 0.232 ]   -","-0.17 [ -1.251 ; 0.912 ]   -","-0.129 [ -0.745 ; 0.486 ]   -","-0.04 [ -0.751 ; 0.671 ]   -"
"4","SumDiBP","0.17 [ -0.118 ; 0.458 ]   -","0.187 [ -0.202 ; 0.576 ]   -","0.292 [ -0.216 ; 0.801 ]   -","-0.074 [ -0.388 ; 0.241 ]   -","0.021 [ -0.312 ; 0.354 ]   -","0.576 [ -0.459 ; 1.61 ]   -","0.114 [ -0.476 ; 0.703 ]   -","0.462 [ -0.217 ; 1.141 ]   -"
"5","SumDnBP","0.125 [ -0.16 ; 0.411 ]   -","0.286 [ -0.099 ; 0.67 ]   -","0.423 [ -0.079 ; 0.925 ]   *","0.129 [ -0.182 ; 0.44 ]   -","0.063 [ -0.266 ; 0.393 ]   -","0.963 [ -0.058 ; 1.983 ]   *","0.415 [ -0.167 ; 0.996 ]   -","0.548 [ -0.123 ; 1.219 ]   -"
"6","SumDEHP","0.305 [ 0.015 ; 0.594 ]   **","0.076 [ -0.317 ; 0.469 ]   -","0.266 [ -0.247 ; 0.779 ]   -","-0.089 [ -0.406 ; 0.229 ]   -","0.139 [ -0.197 ; 0.475 ]   -","0.558 [ -0.486 ; 1.602 ]   -","-0.013 [ -0.608 ; 0.582 ]   -","0.571 [ -0.114 ; 1.255 ]   -"
"7","SumDiNP","0.227 [ -0.055 ; 0.509 ]   -","0.139 [ -0.243 ; 0.52 ]   -","-0.031 [ -0.53 ; 0.468 ]   -","-0.008 [ -0.317 ; 0.3 ]   -","-0.018 [ -0.345 ; 0.309 ]   -","0.327 [ -0.689 ; 1.342 ]   -","0.13 [ -0.448 ; 0.708 ]   -","0.196 [ -0.471 ; 0.864 ]   -"
"8","SumDiDP","0.293 [ 0.013 ; 0.573 ]   **","-0.04 [ -0.42 ; 0.34 ]   -","0.259 [ -0.237 ; 0.755 ]   -","-0.063 [ -0.37 ; 0.245 ]   -","0.101 [ -0.224 ; 0.426 ]   -","0.449 [ -0.561 ; 1.459 ]   -","-0.103 [ -0.678 ; 0.472 ]   -","0.552 [ -0.11 ; 1.214 ]   -"
"9","BPA","0.184 [ -0.096 ; 0.465 ]   -","0.429 [ 0.053 ; 0.806 ]   **","0.334 [ -0.161 ; 0.829 ]   -","0.027 [ -0.277 ; 0.332 ]   -","0.094 [ -0.23 ; 0.418 ]   -","0.975 [ -0.029 ; 1.979 ]   *","0.457 [ -0.113 ; 1.026 ]   -","0.518 [ -0.143 ; 1.18 ]   -"
"10","BPF","0.219 [ -0.253 ; 0.691 ]   -","0.306 [ -0.367 ; 0.979 ]   -","0.187 [ -0.667 ; 1.04 ]   -","0.195 [ -0.319 ; 0.708 ]   -","-0.07 [ -0.669 ; 0.528 ]   -","0.907 [ -0.837 ; 2.651 ]   -","0.501 [ -0.489 ; 1.491 ]   -","0.406 [ -0.728 ; 1.54 ]   -"
"11","SumDEHTP","0.446 [ -0.008 ; 0.9 ]   *","-0.079 [ -0.732 ; 0.574 ]   -","0.278 [ -0.553 ; 1.109 ]   -","-0.089 [ -0.585 ; 0.406 ]   -","0.772 [ 0.214 ; 1.33 ]   **","0.556 [ -1.139 ; 2.25 ]   -","-0.168 [ -1.13 ; 0.793 ]   -","0.724 [ -0.367 ; 1.814 ]   -"
"12","SumDINCH","-0.06 [ -0.523 ; 0.403 ]   -","0.021 [ -0.635 ; 0.678 ]   -","-0.639 [ -1.467 ; 0.189 ]   -","-0.189 [ -0.686 ; 0.308 ]   -","-0.158 [ -0.735 ; 0.42 ]   -","-0.867 [ -2.565 ; 0.832 ]   -","-0.168 [ -1.134 ; 0.799 ]   -","-0.699 [ -1.795 ; 0.398 ]   -"
