"","compound","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","0.259 [ -0.017 ; 0.535 ]   *","0.107 [ -0.267 ; 0.482 ]   -","0.338 [ -0.152 ; 0.827 ]   -","0.181 [ -0.12 ; 0.482 ]   -","0.481 [ 0.165 ; 0.797 ]   **","0.885 [ -0.11 ; 1.88 ]   *","0.288 [ -0.276 ; 0.853 ]   -","0.597 [ -0.057 ; 1.251 ]   *"
"2","MEP","0.206 [ -0.075 ; 0.488 ]   -","0.025 [ -0.356 ; 0.406 ]   -","0.283 [ -0.215 ; 0.781 ]   -","-0.008 [ -0.315 ; 0.298 ]   -","0.101 [ -0.224 ; 0.426 ]   -","0.506 [ -0.508 ; 1.52 ]   -","0.017 [ -0.558 ; 0.591 ]   -","0.489 [ -0.176 ; 1.155 ]   -"
"3","MBzP","0.134 [ -0.159 ; 0.427 ]   -","-0.112 [ -0.508 ; 0.283 ]   -","-0.123 [ -0.641 ; 0.395 ]   -","0.026 [ -0.292 ; 0.345 ]   -","-0.129 [ -0.466 ; 0.209 ]   -","-0.075 [ -1.129 ; 0.979 ]   -","-0.086 [ -0.683 ; 0.511 ]   -","0.011 [ -0.682 ; 0.704 ]   -"
"4","SumDiBP","0.198 [ -0.086 ; 0.483 ]   -","0.214 [ -0.17 ; 0.599 ]   -","0.371 [ -0.133 ; 0.874 ]   -","-0.05 [ -0.361 ; 0.26 ]   -","0.048 [ -0.281 ; 0.377 ]   -","0.733 [ -0.291 ; 1.758 ]   -","0.164 [ -0.417 ; 0.745 ]   -","0.569 [ -0.104 ; 1.242 ]   *"
"5","SumDnBP","0.133 [ -0.15 ; 0.416 ]   -","0.292 [ -0.089 ; 0.673 ]   -","0.463 [ -0.036 ; 0.962 ]   *","0.146 [ -0.162 ; 0.454 ]   -","0.063 [ -0.264 ; 0.39 ]   -","1.034 [ 0.02 ; 2.048 ]   **","0.438 [ -0.138 ; 1.014 ]   -","0.596 [ -0.072 ; 1.264 ]   *"
"6","SumDEHP","0.299 [ 0.015 ; 0.583 ]   **","0.096 [ -0.29 ; 0.482 ]   -","0.32 [ -0.185 ; 0.825 ]   -","-0.062 [ -0.373 ; 0.249 ]   -","0.132 [ -0.198 ; 0.461 ]   -","0.653 [ -0.375 ; 1.68 ]   -","0.033 [ -0.549 ; 0.616 ]   -","0.619 [ -0.055 ; 1.293 ]   *"
"7","SumDiNP","0.24 [ -0.041 ; 0.52 ]   *","0.158 [ -0.221 ; 0.537 ]   -","0.026 [ -0.472 ; 0.523 ]   -","0.008 [ -0.298 ; 0.314 ]   -","-0.007 [ -0.331 ; 0.318 ]   -","0.431 [ -0.58 ; 1.443 ]   -","0.166 [ -0.407 ; 0.739 ]   -","0.265 [ -0.4 ; 0.93 ]   -"
"8","SumDiDP","0.299 [ 0.019 ; 0.578 ]   **","-0.028 [ -0.408 ; 0.351 ]   -","0.284 [ -0.212 ; 0.781 ]   -","-0.056 [ -0.362 ; 0.25 ]   -","0.106 [ -0.218 ; 0.431 ]   -","0.499 [ -0.513 ; 1.51 ]   -","-0.084 [ -0.658 ; 0.489 ]   -","0.583 [ -0.08 ; 1.246 ]   *"
"9","BPA","0.184 [ -0.093 ; 0.462 ]   -","0.402 [ 0.029 ; 0.775 ]   **","0.291 [ -0.2 ; 0.783 ]   -","0.016 [ -0.284 ; 0.317 ]   -","0.097 [ -0.223 ; 0.418 ]   -","0.894 [ -0.103 ; 1.89 ]   *","0.418 [ -0.145 ; 0.98 ]   -","0.476 [ -0.182 ; 1.133 ]   -"
"10","BPF","0.24 [ -0.219 ; 0.7 ]   -","0.341 [ -0.314 ; 0.996 ]   -","0.245 [ -0.586 ; 1.077 ]   -","0.233 [ -0.268 ; 0.733 ]   -","0.008 [ -0.58 ; 0.597 ]   -","1.059 [ -0.641 ; 2.76 ]   -","0.574 [ -0.39 ; 1.537 ]   -","0.486 [ -0.62 ; 1.591 ]   -"
"11","SumDEHTP","0.461 [ 0.014 ; 0.907 ]   **","-0.07 [ -0.715 ; 0.575 ]   -","0.266 [ -0.556 ; 1.087 ]   -","-0.117 [ -0.607 ; 0.373 ]   -","0.778 [ 0.223 ; 1.333 ]   **","0.539 [ -1.139 ; 2.218 ]   -","-0.187 [ -1.137 ; 0.763 ]   -","0.726 [ -0.351 ; 1.804 ]   -"
"12","SumDINCH","-0.073 [ -0.531 ; 0.385 ]   -","0.01 [ -0.641 ; 0.66 ]   -","-0.64 [ -1.462 ; 0.182 ]   -","-0.176 [ -0.67 ; 0.318 ]   -","-0.173 [ -0.75 ; 0.403 ]   -","-0.879 [ -2.567 ; 0.809 ]   -","-0.166 [ -1.125 ; 0.792 ]   -","-0.713 [ -1.8 ; 0.374 ]   -"
