"","compound","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","0.278 [ 0.003 ; 0.553 ]   **","0.15 [ -0.226 ; 0.526 ]   -","0.34 [ -0.145 ; 0.826 ]   -","0.205 [ -0.098 ; 0.508 ]   -","0.531 [ 0.215 ; 0.847 ]   **","0.973 [ -0.019 ; 1.965 ]   *","0.355 [ -0.215 ; 0.924 ]   -","0.618 [ -0.031 ; 1.267 ]   *"
"2","MEP","0.206 [ -0.075 ; 0.486 ]   -","0.051 [ -0.332 ; 0.433 ]   -","0.259 [ -0.235 ; 0.753 ]   -","0.011 [ -0.297 ; 0.32 ]   -","0.14 [ -0.186 ; 0.466 ]   -","0.527 [ -0.485 ; 1.539 ]   -","0.062 [ -0.518 ; 0.642 ]   -","0.465 [ -0.196 ; 1.125 ]   -"
"3","MBzP","0.129 [ -0.171 ; 0.428 ]   -","-0.131 [ -0.539 ; 0.276 ]   -","-0.2 [ -0.727 ; 0.326 ]   -","0.018 [ -0.311 ; 0.347 ]   -","-0.098 [ -0.445 ; 0.25 ]   -","-0.185 [ -1.264 ; 0.895 ]   -","-0.113 [ -0.731 ; 0.505 ]   -","-0.072 [ -0.777 ; 0.634 ]   -"
"4","SumDiBP","0.151 [ -0.136 ; 0.438 ]   -","0.156 [ -0.234 ; 0.547 ]   -","0.272 [ -0.233 ; 0.776 ]   -","-0.077 [ -0.392 ; 0.238 ]   -","0.023 [ -0.31 ; 0.355 ]   -","0.502 [ -0.532 ; 1.536 ]   -","0.079 [ -0.513 ; 0.672 ]   -","0.423 [ -0.253 ; 1.098 ]   -"
"5","SumDnBP","0.125 [ -0.159 ; 0.41 ]   -","0.298 [ -0.088 ; 0.684 ]   -","0.414 [ -0.085 ; 0.913 ]   -","0.149 [ -0.163 ; 0.461 ]   -","0.089 [ -0.241 ; 0.418 ]   -","0.987 [ -0.034 ; 2.007 ]   *","0.447 [ -0.138 ; 1.032 ]   -","0.54 [ -0.128 ; 1.208 ]   -"
"6","SumDEHP","0.288 [ -0.001 ; 0.577 ]   *","0.054 [ -0.341 ; 0.448 ]   -","0.25 [ -0.26 ; 0.76 ]   -","-0.086 [ -0.404 ; 0.233 ]   -","0.142 [ -0.194 ; 0.478 ]   -","0.506 [ -0.539 ; 1.55 ]   -","-0.032 [ -0.631 ; 0.567 ]   -","0.538 [ -0.143 ; 1.219 ]   -"
"7","SumDiNP","0.204 [ -0.076 ; 0.485 ]   -","0.085 [ -0.297 ; 0.467 ]   -","-0.043 [ -0.538 ; 0.451 ]   -","-0.04 [ -0.349 ; 0.268 ]   -","-0.038 [ -0.363 ; 0.288 ]   -","0.206 [ -0.807 ; 1.218 ]   -","0.045 [ -0.535 ; 0.625 ]   -","0.161 [ -0.501 ; 0.823 ]   -"
"8","SumDiDP","0.284 [ 0.004 ; 0.563 ]   **","-0.057 [ -0.439 ; 0.326 ]   -","0.246 [ -0.248 ; 0.739 ]   -","-0.069 [ -0.377 ; 0.24 ]   -","0.094 [ -0.232 ; 0.419 ]   -","0.404 [ -0.608 ; 1.416 ]   -","-0.125 [ -0.705 ; 0.454 ]   -","0.529 [ -0.13 ; 1.189 ]   -"
"9","BPA","0.183 [ -0.097 ; 0.462 ]   -","0.437 [ 0.058 ; 0.815 ]   **","0.34 [ -0.152 ; 0.832 ]   -","0.041 [ -0.265 ; 0.347 ]   -","0.1 [ -0.225 ; 0.424 ]   -","1 [ -0.005 ; 2.005 ]   *","0.478 [ -0.096 ; 1.052 ]   -","0.523 [ -0.136 ; 1.181 ]   -"
"10","BPF","0.137 [ -0.34 ; 0.613 ]   -","0.187 [ -0.474 ; 0.848 ]   -","0.129 [ -0.7 ; 0.958 ]   -","0.188 [ -0.311 ; 0.687 ]   -","-0.139 [ -0.735 ; 0.456 ]   -","0.64 [ -1.071 ; 2.352 ]   -","0.375 [ -0.594 ; 1.344 ]   -","0.266 [ -0.852 ; 1.383 ]   -"
"11","SumDEHTP","0.419 [ -0.043 ; 0.881 ]   *","-0.106 [ -0.749 ; 0.537 ]   -","0.219 [ -0.594 ; 1.031 ]   -","-0.1 [ -0.585 ; 0.385 ]   -","0.698 [ 0.135 ; 1.262 ]   **","0.432 [ -1.242 ; 2.106 ]   -","-0.206 [ -1.15 ; 0.738 ]   -","0.638 [ -0.445 ; 1.721 ]   -"
"12","SumDINCH","-0.135 [ -0.608 ; 0.339 ]   -","0.022 [ -0.629 ; 0.672 ]   -","-0.687 [ -1.501 ; 0.127 ]   -","-0.188 [ -0.678 ; 0.301 ]   -","-0.217 [ -0.8 ; 0.366 ]   -","-0.988 [ -2.674 ; 0.698 ]   -","-0.167 [ -1.122 ; 0.788 ]   -","-0.821 [ -1.913 ; 0.27 ]   -"
