"","compound","sex","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","female","0.301 [ -0.083 ; 0.684 ]   -","0.123 [ -0.442 ; 0.689 ]   -","0.306 [ -0.364 ; 0.977 ]   -","0.301 [ -0.07 ; 0.672 ]   -","0.487 [ 0.072 ; 0.902 ]   **","1.031 [ -0.374 ; 2.437 ]   -","0.424 [ -0.358 ; 1.206 ]   -","0.607 [ -0.269 ; 1.483 ]   -"
"2","MMP","male","0.257 [ -0.146 ; 0.66 ]   -","0.141 [ -0.372 ; 0.655 ]   -","0.47 [ -0.275 ; 1.215 ]   -","0.053 [ -0.446 ; 0.552 ]   -","0.581 [ 0.091 ; 1.072 ]   **","0.921 [ -0.544 ; 2.387 ]   -","0.194 [ -0.664 ; 1.053 ]   -","0.727 [ -0.283 ; 1.737 ]   -"
"3","MEP","female","0.198 [ -0.194 ; 0.59 ]   -","0.117 [ -0.459 ; 0.693 ]   -","0.229 [ -0.455 ; 0.912 ]   -","0.109 [ -0.271 ; 0.489 ]   -","0.042 [ -0.386 ; 0.471 ]   -","0.653 [ -0.784 ; 2.089 ]   -","0.226 [ -0.572 ; 1.024 ]   -","0.427 [ -0.467 ; 1.321 ]   -"
"4","MEP","male","0.243 [ -0.164 ; 0.651 ]   -","-0.039 [ -0.559 ; 0.481 ]   -","0.36 [ -0.395 ; 1.115 ]   -","-0.202 [ -0.705 ; 0.302 ]   -","0.197 [ -0.306 ; 0.7 ]   -","0.362 [ -1.125 ; 1.85 ]   -","-0.241 [ -1.108 ; 0.627 ]   -","0.603 [ -0.42 ; 1.626 ]   -"
"5","MBzP","female","0.198 [ -0.215 ; 0.611 ]   -","0.052 [ -0.555 ; 0.658 ]   -","-0.224 [ -0.944 ; 0.496 ]   -","0.107 [ -0.293 ; 0.507 ]   -","-0.277 [ -0.727 ; 0.172 ]   -","0.133 [ -1.383 ; 1.65 ]   -","0.159 [ -0.683 ; 1 ]   -","-0.025 [ -0.97 ; 0.919 ]   -"
"6","MBzP","male","0.051 [ -0.396 ; 0.497 ]   -","-0.38 [ -0.944 ; 0.184 ]   -","-0.061 [ -0.887 ; 0.764 ]   -","-0.147 [ -0.697 ; 0.403 ]   -","0.04 [ -0.509 ; 0.59 ]   -","-0.538 [ -2.159 ; 1.083 ]   -","-0.527 [ -1.471 ; 0.417 ]   -","-0.011 [ -1.131 ; 1.109 ]   -"
"7","SumDiBP","female","0.416 [ 0.02 ; 0.812 ]   **","0.691 [ 0.113 ; 1.27 ]   **","0.641 [ -0.05 ; 1.332 ]   *","0.041 [ -0.346 ; 0.429 ]   -","0.14 [ -0.297 ; 0.576 ]   -","1.79 [ 0.346 ; 3.234 ]   **","0.733 [ -0.075 ; 1.54 ]   *","1.057 [ 0.157 ; 1.958 ]   **"
"8","SumDiBP","male","-0.096 [ -0.515 ; 0.324 ]   -","-0.267 [ -0.799 ; 0.264 ]   -","-0.087 [ -0.862 ; 0.689 ]   -","-0.195 [ -0.712 ; 0.321 ]   -","-0.046 [ -0.563 ; 0.47 ]   -","-0.645 [ -2.168 ; 0.878 ]   -","-0.462 [ -1.35 ; 0.425 ]   -","-0.182 [ -1.235 ; 0.87 ]   -"
"9","SumDnBP","female","0.25 [ -0.147 ; 0.647 ]   -","0.648 [ 0.072 ; 1.224 ]   **","0.478 [ -0.212 ; 1.168 ]   -","0.251 [ -0.133 ; 0.635 ]   -","-0.123 [ -0.557 ; 0.311 ]   -","1.627 [ 0.187 ; 3.067 ]   **","0.899 [ 0.1 ; 1.698 ]   **","0.728 [ -0.175 ; 1.63 ]   -"
"10","SumDnBP","male","-0.058 [ -0.47 ; 0.355 ]   -","-0.065 [ -0.589 ; 0.458 ]   -","0.354 [ -0.406 ; 1.115 ]   -","0.033 [ -0.475 ; 0.542 ]   -","0.37 [ -0.135 ; 0.875 ]   -","0.265 [ -1.235 ; 1.764 ]   -","-0.032 [ -0.907 ; 0.843 ]   -","0.297 [ -0.737 ; 1.331 ]   -"
"11","SumDEHP","female","0.33 [ -0.072 ; 0.731 ]   -","0.331 [ -0.259 ; 0.922 ]   -","0.099 [ -0.605 ; 0.803 ]   -","-0.079 [ -0.47 ; 0.312 ]   -","0.092 [ -0.349 ; 0.533 ]   -","0.681 [ -0.797 ; 2.159 ]   -","0.252 [ -0.569 ; 1.074 ]   -","0.429 [ -0.492 ; 1.349 ]   -"
"12","SumDEHP","male","0.314 [ -0.102 ; 0.73 ]   -","-0.194 [ -0.724 ; 0.337 ]   -","0.42 [ -0.352 ; 1.191 ]   -","-0.154 [ -0.669 ; 0.362 ]   -","0.172 [ -0.342 ; 0.687 ]   -","0.386 [ -1.135 ; 1.907 ]   -","-0.347 [ -1.233 ; 0.539 ]   -","0.733 [ -0.311 ; 1.778 ]   -"
"13","SumDiNP","female","0.295 [ -0.091 ; 0.682 ]   -","0.266 [ -0.303 ; 0.834 ]   -","-0.033 [ -0.711 ; 0.644 ]   -","-0.059 [ -0.436 ; 0.317 ]   -","0.056 [ -0.368 ; 0.48 ]   -","0.468 [ -0.955 ; 1.892 ]   -","0.206 [ -0.584 ; 0.996 ]   -","0.262 [ -0.625 ; 1.149 ]   -"
"14","SumDiNP","male","0.172 [ -0.237 ; 0.581 ]   -","-0.004 [ -0.524 ; 0.516 ]   -","0.012 [ -0.745 ; 0.769 ]   -","0.007 [ -0.498 ; 0.512 ]   -","-0.136 [ -0.64 ; 0.368 ]   -","0.187 [ -1.302 ; 1.676 ]   -","0.003 [ -0.866 ; 0.872 ]   -","0.184 [ -0.843 ; 1.211 ]   -"
