"","compound","sex","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","female","0.294 [ -0.091 ; 0.68 ]   -","0.122 [ -0.439 ; 0.683 ]   -","0.294 [ -0.376 ; 0.964 ]   -","0.3 [ -0.069 ; 0.669 ]   -","0.487 [ 0.072 ; 0.903 ]   **","1.011 [ -0.395 ; 2.416 ]   -","0.422 [ -0.355 ; 1.199 ]   -","0.589 [ -0.291 ; 1.469 ]   -"
"2","MMP","male","0.229 [ -0.168 ; 0.626 ]   -","0.101 [ -0.408 ; 0.611 ]   -","0.464 [ -0.277 ; 1.205 ]   -","0.062 [ -0.429 ; 0.552 ]   -","0.509 [ 0.019 ; 0.998 ]   **","0.856 [ -0.594 ; 2.306 ]   -","0.163 [ -0.683 ; 1.009 ]   -","0.693 [ -0.304 ; 1.69 ]   -"
"3","MEP","female","0.194 [ -0.199 ; 0.588 ]   -","0.11 [ -0.461 ; 0.681 ]   -","0.209 [ -0.473 ; 0.891 ]   -","0.114 [ -0.263 ; 0.491 ]   -","0.043 [ -0.385 ; 0.472 ]   -","0.627 [ -0.807 ; 2.061 ]   -","0.224 [ -0.568 ; 1.016 ]   -","0.403 [ -0.494 ; 1.3 ]   -"
"4","MEP","male","0.226 [ -0.178 ; 0.63 ]   -","-0.05 [ -0.569 ; 0.468 ]   -","0.387 [ -0.367 ; 1.142 ]   -","-0.187 [ -0.685 ; 0.312 ]   -","0.164 [ -0.339 ; 0.667 ]   -","0.377 [ -1.103 ; 1.856 ]   -","-0.237 [ -1.097 ; 0.623 ]   -","0.613 [ -0.402 ; 1.628 ]   -"
"5","MBzP","female","0.217 [ -0.185 ; 0.619 ]   -","0.041 [ -0.543 ; 0.625 ]   -","-0.239 [ -0.936 ; 0.459 ]   -","0.139 [ -0.246 ; 0.525 ]   -","-0.217 [ -0.654 ; 0.22 ]   -","0.159 [ -1.31 ; 1.629 ]   -","0.181 [ -0.629 ; 0.991 ]   -","-0.021 [ -0.941 ; 0.898 ]   -"
"6","MBzP","male","0.002 [ -0.431 ; 0.436 ]   -","-0.329 [ -0.882 ; 0.223 ]   -","0.093 [ -0.716 ; 0.902 ]   -","-0.114 [ -0.647 ; 0.419 ]   -","-0.051 [ -0.589 ; 0.487 ]   -","-0.348 [ -1.93 ; 1.234 ]   -","-0.443 [ -1.361 ; 0.475 ]   -","0.095 [ -0.995 ; 1.185 ]   -"
"7","SumDiBP","female","0.467 [ 0.075 ; 0.858 ]   **","0.704 [ 0.138 ; 1.27 ]   **","0.712 [ 0.032 ; 1.392 ]   **","0.056 [ -0.324 ; 0.437 ]   -","0.183 [ -0.248 ; 0.614 ]   -","1.939 [ 0.519 ; 3.359 ]   **","0.761 [ -0.03 ; 1.551 ]   *","1.179 [ 0.29 ; 2.068 ]   **"
"8","SumDiBP","male","-0.116 [ -0.527 ; 0.295 ]   -","-0.247 [ -0.772 ; 0.278 ]   -","0.012 [ -0.757 ; 0.78 ]   -","-0.162 [ -0.668 ; 0.344 ]   -","-0.075 [ -0.586 ; 0.436 ]   -","-0.513 [ -2.014 ; 0.988 ]   -","-0.409 [ -1.281 ; 0.463 ]   -","-0.104 [ -1.139 ; 0.931 ]   -"
"9","SumDnBP","female","0.271 [ -0.126 ; 0.668 ]   -","0.654 [ 0.084 ; 1.224 ]   **","0.488 [ -0.199 ; 1.175 ]   -","0.263 [ -0.117 ; 0.643 ]   -","-0.092 [ -0.525 ; 0.342 ]   -","1.676 [ 0.242 ; 3.11 ]   **","0.917 [ 0.126 ; 1.708 ]   **","0.759 [ -0.144 ; 1.663 ]   -"
"10","SumDnBP","male","-0.088 [ -0.492 ; 0.316 ]   -","-0.063 [ -0.581 ; 0.454 ]   -","0.432 [ -0.32 ; 1.184 ]   -","0.057 [ -0.44 ; 0.555 ]   -","0.297 [ -0.203 ; 0.797 ]   -","0.338 [ -1.137 ; 1.813 ]   -","-0.006 [ -0.864 ; 0.852 ]   -","0.344 [ -0.671 ; 1.359 ]   -"
