"","compound","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","0.044 [ -0.5 ; 0.588 ]   -","-0.132 [ -0.904 ; 0.641 ]   -","-0.042 [ -0.963 ; 0.878 ]   -","0.269 [ -0.292 ; 0.831 ]   -","1.262 [ 0.666 ; 1.859 ]   **","0.139 [ -1.836 ; 2.115 ]   -","0.137 [ -0.981 ; 1.256 ]   -","0.002 [ -1.242 ; 1.246 ]   -"
"2","MEP","0.051 [ -0.539 ; 0.64 ]   -","0.171 [ -0.666 ; 1.009 ]   -","0.23 [ -0.768 ; 1.228 ]   -","-0.416 [ -1.025 ; 0.192 ]   -","-0.699 [ -1.345 ; -0.052 ]   **","0.035 [ -2.106 ; 2.177 ]   -","-0.245 [ -1.458 ; 0.968 ]   -","0.281 [ -1.068 ; 1.629 ]   -"
"3","MBzP","-0.028 [ -0.712 ; 0.657 ]   -","-0.827 [ -1.799 ; 0.144 ]   *","-1.25 [ -2.409 ; -0.092 ]   **","-0.116 [ -0.822 ; 0.591 ]   -","-0.142 [ -0.892 ; 0.609 ]   -","-2.222 [ -4.707 ; 0.263 ]   *","-0.944 [ -2.35 ; 0.463 ]   -","-1.278 [ -2.843 ; 0.287 ]   -"
"4","SumDiDP","0.435 [ -0.448 ; 1.318 ]   -","-0.53 [ -1.783 ; 0.723 ]   -","1.817 [ 0.322 ; 3.311 ]   **","-0.373 [ -1.285 ; 0.538 ]   -","0.668 [ -0.3 ; 1.637 ]   -","1.348 [ -1.858 ; 4.554 ]   -","-0.903 [ -2.717 ; 0.912 ]   -","2.253 [ 0.234 ; 4.271 ]   **"
"5","SumDiNP","-0.463 [ -1.227 ; 0.302 ]   -","0.413 [ -0.672 ; 1.499 ]   -","-0.596 [ -1.89 ; 0.699 ]   -","0.273 [ -0.516 ; 1.063 ]   -","-0.983 [ -1.822 ; -0.144 ]   **","-0.371 [ -3.148 ; 2.406 ]   -","0.687 [ -0.885 ; 2.259 ]   -","-1.059 [ -2.807 ; 0.69 ]   -"
"6","SumDEHP","0.156 [ -0.774 ; 1.085 ]   -","-0.077 [ -1.396 ; 1.242 ]   -","0.486 [ -1.087 ; 2.059 ]   -","0.51 [ -0.45 ; 1.47 ]   -","0.175 [ -0.845 ; 1.195 ]   -","1.075 [ -2.3 ; 4.45 ]   -","0.432 [ -1.478 ; 2.343 ]   -","0.642 [ -1.483 ; 2.767 ]   -"
"7","SumDnBP","0.122 [ -0.777 ; 1.022 ]   -","0.204 [ -1.073 ; 1.482 ]   -","-0.628 [ -2.151 ; 0.896 ]   -","-0.62 [ -1.55 ; 0.309 ]   -","-0.697 [ -1.685 ; 0.29 ]   -","-0.92 [ -4.188 ; 2.348 ]   -","-0.415 [ -2.265 ; 1.435 ]   -","-0.505 [ -2.563 ; 1.553 ]   -"
"8","SumDiBP","-0.062 [ -0.851 ; 0.727 ]   -","0.049 [ -1.07 ; 1.169 ]   -","0.323 [ -1.013 ; 1.658 ]   -","-0.141 [ -0.956 ; 0.674 ]   -","-0.066 [ -0.932 ; 0.8 ]   -","0.169 [ -2.696 ; 3.034 ]   -","-0.091 [ -1.713 ; 1.53 ]   -","0.26 [ -1.544 ; 2.065 ]   -"
"9","BPA","0.466 [ -0.195 ; 1.128 ]   -","0.289 [ -0.65 ; 1.229 ]   -","0.531 [ -0.59 ; 1.651 ]   -","-0.337 [ -1.02 ; 0.347 ]   -","0.92 [ 0.194 ; 1.645 ]   **","0.95 [ -1.453 ; 3.354 ]   -","-0.047 [ -1.407 ; 1.314 ]   -","0.997 [ -0.516 ; 2.51 ]   -"
"10","BPF","0.032 [ -0.557 ; 0.622 ]   -","0.372 [ -0.465 ; 1.209 ]   -","0.207 [ -0.791 ; 1.204 ]   -","0.493 [ -0.116 ; 1.102 ]   -","-0.265 [ -0.911 ; 0.381 ]   -","1.104 [ -1.037 ; 3.244 ]   -","0.865 [ -0.347 ; 2.077 ]   -","0.239 [ -1.109 ; 1.587 ]   -"
"11","SumDINCH","-0.529 [ -1.15 ; 0.093 ]   *","0.115 [ -0.767 ; 0.997 ]   -","-1.153 [ -2.204 ; -0.101 ]   **","0.101 [ -0.541 ; 0.742 ]   -","-0.275 [ -0.957 ; 0.406 ]   -","-1.466 [ -3.722 ; 0.79 ]   -","0.215 [ -1.062 ; 1.493 ]   -","-1.682 [ -3.102 ; -0.261 ]   **"
"12","SumDEHTP","0.376 [ -0.209 ; 0.961 ]   -","-0.282 [ -1.113 ; 0.548 ]   -","0.006 [ -0.984 ; 0.996 ]   -","-0.049 [ -0.653 ; 0.555 ]   -","0.797 [ 0.155 ; 1.438 ]   **","0.051 [ -2.073 ; 2.176 ]   -","-0.331 [ -1.534 ; 0.872 ]   -","0.382 [ -0.955 ; 1.72 ]   -"
