"","compound","sex","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","female","0.167 [ -0.045 ; 0.379 ]   -","0.07 [ -0.16 ; 0.299 ]   -","0.071 [ -0.117 ; 0.258 ]   -","0.218 [ -0.075 ; 0.511 ]   -","0.36 [ 0.075 ; 0.645 ]   **","0.105 [ -0.057 ; 0.267 ]   -","0.117 [ -0.095 ; 0.33 ]   -","0.098 [ -0.07 ; 0.265 ]   -"
"2","MMP","male","0.162 [ -0.059 ; 0.384 ]   -","0.086 [ -0.18 ; 0.353 ]   -","0.112 [ -0.064 ; 0.288 ]   -","0.027 [ -0.292 ; 0.346 ]   -","0.308 [ 0.026 ; 0.59 ]   **","0.101 [ -0.052 ; 0.255 ]   -","0.071 [ -0.172 ; 0.314 ]   -","0.124 [ -0.048 ; 0.296 ]   -"
"3","MEP","female","0.128 [ -0.103 ; 0.359 ]   -","0.093 [ -0.144 ; 0.33 ]   -","0.058 [ -0.134 ; 0.251 ]   -","0.146 [ -0.168 ; 0.46 ]   -","0.084 [ -0.23 ; 0.399 ]   -","0.093 [ -0.073 ; 0.26 ]   -","0.113 [ -0.106 ; 0.333 ]   -","0.08 [ -0.093 ; 0.253 ]   -"
"4","MEP","male","0.128 [ -0.092 ; 0.347 ]   -","-0.048 [ -0.318 ; 0.222 ]   -","0.078 [ -0.101 ; 0.256 ]   -","-0.125 [ -0.454 ; 0.203 ]   -","0.118 [ -0.172 ; 0.407 ]   -","0.031 [ -0.125 ; 0.187 ]   -","-0.08 [ -0.328 ; 0.167 ]   -","0.092 [ -0.082 ; 0.266 ]   -"
"5","MBzP","female","0.133 [ -0.118 ; 0.384 ]   -","0.04 [ -0.211 ; 0.291 ]   -","-0.064 [ -0.27 ; 0.142 ]   -","0.117 [ -0.22 ; 0.454 ]   -","-0.198 [ -0.534 ; 0.138 ]   -","0.024 [ -0.153 ; 0.201 ]   -","0.064 [ -0.169 ; 0.297 ]   -","-0.006 [ -0.191 ; 0.18 ]   -"
"6","MBzP","male","0.01 [ -0.234 ; 0.253 ]   -","-0.241 [ -0.532 ; 0.05 ]   -","-0.025 [ -0.219 ; 0.17 ]   -","-0.075 [ -0.43 ; 0.28 ]   -","0.02 [ -0.298 ; 0.339 ]   -","-0.071 [ -0.241 ; 0.099 ]   -","-0.164 [ -0.431 ; 0.104 ]   -","-0.014 [ -0.204 ; 0.177 ]   -"
"7","SumDiBP","female","0.237 [ -0.003 ; 0.478 ]   *","0.277 [ 0.034 ; 0.52 ]   **","0.176 [ -0.021 ; 0.374 ]   *","0.023 [ -0.307 ; 0.352 ]   -","0.094 [ -0.236 ; 0.425 ]   -","0.189 [ 0.019 ; 0.359 ]   **","0.186 [ -0.04 ; 0.413 ]   -","0.194 [ 0.016 ; 0.372 ]   **"
"8","SumDiBP","male","-0.045 [ -0.268 ; 0.178 ]   -","-0.172 [ -0.441 ; 0.098 ]   -","-0.028 [ -0.211 ; 0.155 ]   -","-0.085 [ -0.415 ; 0.245 ]   -","-0.041 [ -0.335 ; 0.254 ]   -","-0.07 [ -0.229 ; 0.089 ]   -","-0.124 [ -0.373 ; 0.126 ]   -","-0.035 [ -0.213 ; 0.143 ]   -"
"9","SumDnBP","female","0.16 [ -0.075 ; 0.395 ]   -","0.269 [ 0.037 ; 0.502 ]   **","0.126 [ -0.069 ; 0.321 ]   -","0.21 [ -0.107 ; 0.527 ]   -","-0.073 [ -0.395 ; 0.248 ]   -","0.178 [ 0.011 ; 0.345 ]   **","0.241 [ 0.023 ; 0.46 ]   **","0.134 [ -0.042 ; 0.31 ]   -"
"10","SumDnBP","male","-0.01 [ -0.233 ; 0.212 ]   -","-0.048 [ -0.316 ; 0.22 ]   -","0.082 [ -0.099 ; 0.263 ]   -","0.023 [ -0.307 ; 0.353 ]   -","0.185 [ -0.112 ; 0.481 ]   -","0.025 [ -0.132 ; 0.183 ]   -","-0.011 [ -0.259 ; 0.237 ]   -","0.053 [ -0.124 ; 0.229 ]   -"
"11","SumDEHP","female","0.217 [ -0.036 ; 0.47 ]   *","0.141 [ -0.107 ; 0.388 ]   -","0.026 [ -0.178 ; 0.229 ]   -","-0.054 [ -0.388 ; 0.28 ]   -","0.09 [ -0.241 ; 0.421 ]   -","0.079 [ -0.096 ; 0.253 ]   -","0.076 [ -0.154 ; 0.307 ]   -","0.082 [ -0.101 ; 0.266 ]   -"
"12","SumDEHP","male","0.149 [ -0.07 ; 0.368 ]   -","-0.158 [ -0.427 ; 0.111 ]   -","0.084 [ -0.093 ; 0.262 ]   -","-0.048 [ -0.376 ; 0.28 ]   -","0.093 [ -0.202 ; 0.388 ]   -","0.033 [ -0.125 ; 0.19 ]   -","-0.104 [ -0.353 ; 0.144 ]   -","0.107 [ -0.068 ; 0.282 ]   -"
"13","SumDiNP","female","0.165 [ -0.073 ; 0.404 ]   -","0.082 [ -0.155 ; 0.318 ]   -","-0.02 [ -0.215 ; 0.176 ]   -","-0.09 [ -0.412 ; 0.231 ]   -","0.056 [ -0.262 ; 0.373 ]   -","0.025 [ -0.143 ; 0.192 ]   -","0.023 [ -0.198 ; 0.244 ]   -","0.032 [ -0.144 ; 0.208 ]   -"
"14","SumDiNP","male","0.1 [ -0.114 ; 0.314 ]   -","-0.027 [ -0.292 ; 0.238 ]   -","-0.003 [ -0.179 ; 0.173 ]   -","0.016 [ -0.302 ; 0.334 ]   -","-0.1 [ -0.396 ; 0.196 ]   -","0.021 [ -0.134 ; 0.175 ]   -","0.004 [ -0.239 ; 0.247 ]   -","0.031 [ -0.141 ; 0.203 ]   -"
"15","SumDiDP","female","0.21 [ -0.029 ; 0.449 ]   *","0.071 [ -0.168 ; 0.31 ]   -","0.063 [ -0.133 ; 0.259 ]   -","-0.044 [ -0.368 ; 0.28 ]   -","0.241 [ -0.08 ; 0.562 ]   -","0.073 [ -0.096 ; 0.241 ]   -","0.03 [ -0.193 ; 0.253 ]   -","0.108 [ -0.068 ; 0.284 ]   -"
"16","SumDiDP","male","0.131 [ -0.075 ; 0.338 ]   -","-0.144 [ -0.41 ; 0.122 ]   -","0.066 [ -0.105 ; 0.237 ]   -","-0.031 [ -0.348 ; 0.287 ]   -","-0.07 [ -0.362 ; 0.222 ]   -","0.027 [ -0.125 ; 0.18 ]   -","-0.095 [ -0.337 ; 0.148 ]   -","0.091 [ -0.078 ; 0.259 ]   -"
"17","BPA","female","0.119 [ -0.116 ; 0.355 ]   -","0.149 [ -0.084 ; 0.382 ]   -","0.123 [ -0.068 ; 0.315 ]   -","0.003 [ -0.317 ; 0.324 ]   -","0.029 [ -0.289 ; 0.347 ]   -","0.116 [ -0.05 ; 0.281 ]   -","0.102 [ -0.116 ; 0.321 ]   -","0.122 [ -0.051 ; 0.295 ]   -"
