"","compound","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","0.022 [ -0.319 ; 0.363 ]   -","-0.085 [ -0.46 ; 0.291 ]   -","-0.025 [ -0.248 ; 0.197 ]   -","0.138 [ -0.227 ; 0.502 ]   -","0.9 [ 0.562 ; 1.237 ]   **","-0.015 [ -0.225 ; 0.194 ]   -","0.02 [ -0.289 ; 0.329 ]   -","-0.024 [ -0.239 ; 0.192 ]   -"
"2","MEP","0.038 [ -0.316 ; 0.393 ]   -","0.086 [ -0.307 ; 0.479 ]   -","0.072 [ -0.165 ; 0.31 ]   -","-0.291 [ -0.709 ; 0.127 ]   -","-0.611 [ -1.016 ; -0.206 ]   **","0.04 [ -0.185 ; 0.264 ]   -","-0.064 [ -0.398 ; 0.269 ]   -","0.076 [ -0.153 ; 0.305 ]   -"
"3","MBzP","-0.026 [ -0.434 ; 0.381 ]   -","-0.411 [ -0.867 ; 0.044 ]   *","-0.323 [ -0.6 ; -0.046 ]   **","-0.112 [ -0.598 ; 0.375 ]   -","-0.009 [ -0.472 ; 0.454 ]   -","-0.264 [ -0.525 ; -0.004 ]   **","-0.261 [ -0.647 ; 0.125 ]   -","-0.255 [ -0.52 ; 0.011 ]   *"
"4","SumDiDP","0.259 [ -0.24 ; 0.759 ]   -","-0.319 [ -0.943 ; 0.304 ]   -","0.45 [ 0.121 ; 0.78 ]   **","-0.245 [ -0.877 ; 0.387 ]   -","0.623 [ 0.051 ; 1.194 ]   **","0.168 [ -0.162 ; 0.499 ]   -","-0.291 [ -0.805 ; 0.223 ]   -","0.406 [ 0.082 ; 0.73 ]   **"
"5","SumDiNP","-0.323 [ -0.814 ; 0.167 ]   -","0.2 [ -0.307 ; 0.706 ]   -","-0.144 [ -0.448 ; 0.16 ]   -","0.219 [ -0.308 ; 0.745 ]   -","-0.749 [ -1.334 ; -0.164 ]   **","-0.07 [ -0.362 ; 0.222 ]   -","0.189 [ -0.241 ; 0.618 ]   -","-0.198 [ -0.496 ; 0.101 ]   -"
"6","SumDEHP","0.1 [ -0.435 ; 0.635 ]   -","0.005 [ -0.611 ; 0.621 ]   -","0.126 [ -0.234 ; 0.487 ]   -","0.363 [ -0.264 ; 0.991 ]   -","-0.15 [ -0.717 ; 0.418 ]   -","0.147 [ -0.2 ; 0.495 ]   -","0.165 [ -0.353 ; 0.682 ]   -","0.139 [ -0.211 ; 0.489 ]   -"
"7","SumDnBP","0.116 [ -0.439 ; 0.671 ]   -","0.125 [ -0.476 ; 0.726 ]   -","-0.164 [ -0.535 ; 0.208 ]   -","-0.378 [ -1.062 ; 0.305 ]   -","-0.51 [ -1.146 ; 0.125 ]   -","-0.1 [ -0.447 ; 0.248 ]   -","-0.096 [ -0.614 ; 0.422 ]   -","-0.085 [ -0.441 ; 0.271 ]   -"
"8","SumDiBP","-0.03 [ -0.493 ; 0.434 ]   -","0.006 [ -0.516 ; 0.528 ]   -","0.098 [ -0.215 ; 0.411 ]   -","-0.066 [ -0.609 ; 0.477 ]   -","-0.003 [ -0.533 ; 0.526 ]   -","0.048 [ -0.249 ; 0.346 ]   -","-0.005 [ -0.445 ; 0.434 ]   -","0.065 [ -0.237 ; 0.367 ]   -"
"9","BPA","0.288 [ -0.081 ; 0.658 ]   -","0.15 [ -0.278 ; 0.578 ]   -","0.143 [ -0.111 ; 0.398 ]   -","-0.222 [ -0.691 ; 0.248 ]   -","0.748 [ 0.34 ; 1.155 ]   **","0.11 [ -0.136 ; 0.357 ]   -","-0.014 [ -0.38 ; 0.353 ]   -","0.187 [ -0.06 ; 0.433 ]   -"
"10","BPF","0.036 [ -0.315 ; 0.388 ]   -","0.151 [ -0.216 ; 0.518 ]   -","0.042 [ -0.188 ; 0.271 ]   -","0.208 [ -0.127 ; 0.542 ]   -","-0.247 [ -0.653 ; 0.159 ]   -","0.066 [ -0.152 ; 0.285 ]   -","0.157 [ -0.152 ; 0.466 ]   -","0.025 [ -0.201 ; 0.25 ]   -"
"11","SumDINCH","-0.342 [ -0.735 ; 0.051 ]   *","0.073 [ -0.346 ; 0.492 ]   -","-0.327 [ -0.59 ; -0.063 ]   **","0.049 [ -0.402 ; 0.5 ]   -","-0.085 [ -0.502 ; 0.333 ]   -","-0.212 [ -0.455 ; 0.03 ]   *","0.054 [ -0.301 ; 0.41 ]   -","-0.353 [ -0.605 ; -0.1 ]   **"
"12","SumDEHTP","0.228 [ -0.116 ; 0.572 ]   -","-0.141 [ -0.529 ; 0.246 ]   -","-0.011 [ -0.244 ; 0.223 ]   -","-0.093 [ -0.527 ; 0.341 ]   -","0.554 [ 0.177 ; 0.932 ]   **","0.009 [ -0.213 ; 0.231 ]   -","-0.114 [ -0.447 ; 0.219 ]   -","0.06 [ -0.165 ; 0.285 ]   -"
