"","compound","sex","Conduct problems","Emotional symptoms","Hyperactivity/Inattention","Peer relationships problems","Prosocial behavior","Total difficulties","Internalizing score","Externalizing score"
"1","MMP","female","-0.098 [ -0.827 ; 0.632 ]   -","-0.746 [ -2.006 ; 0.514 ]   -","-0.497 [ -1.864 ; 0.871 ]   -","0.245 [ -0.483 ; 0.974 ]   -","1.251 [ 0.512 ; 1.99 ]   **","-1.094 [ -3.955 ; 1.767 ]   -","-0.5 [ -2.136 ; 1.135 ]   -","-0.594 [ -2.386 ; 1.198 ]   -"
"2","MMP","male","0.208 [ -0.637 ; 1.053 ]   -","0.308 [ -0.729 ; 1.345 ]   -","0.102 [ -1.296 ; 1.5 ]   -","0.576 [ -0.312 ; 1.463 ]   -","1.026 [ 0.028 ; 2.024 ]   **","1.192 [ -1.734 ; 4.117 ]   -","0.883 [ -0.737 ; 2.503 ]   -","0.31 [ -1.628 ; 2.248 ]   -"
"3","MEP","female","0.004 [ -0.736 ; 0.743 ]   -","0.392 [ -0.885 ; 1.669 ]   -","0.319 [ -1.067 ; 1.706 ]   -","-0.013 [ -0.751 ; 0.726 ]   -","-0.679 [ -1.428 ; 0.069 ]   *","0.702 [ -2.199 ; 3.602 ]   -","0.379 [ -1.279 ; 2.038 ]   -","0.323 [ -1.494 ; 2.139 ]   -"
"4","MEP","male","0.296 [ -0.763 ; 1.356 ]   -","0.182 [ -1.118 ; 1.483 ]   -","0.534 [ -1.218 ; 2.287 ]   -","-0.786 [ -1.898 ; 0.327 ]   -","-0.545 [ -1.797 ; 0.706 ]   -","0.232 [ -3.437 ; 3.901 ]   -","-0.603 [ -2.634 ; 1.429 ]   -","0.832 [ -1.598 ; 3.261 ]   -"
"5","MBzP","female","0.778 [ -0.081 ; 1.637 ]   *","-0.548 [ -2.03 ; 0.934 ]   -","-0.96 [ -2.57 ; 0.65 ]   -","0.194 [ -0.663 ; 1.051 ]   -","0.13 [ -0.74 ; 1 ]   -","-0.539 [ -3.906 ; 2.828 ]   -","-0.354 [ -2.277 ; 1.57 ]   -","-0.183 [ -2.293 ; 1.926 ]   -"
"6","MBzP","male","-0.913 [ -2.11 ; 0.283 ]   -","-1.273 [ -2.742 ; 0.196 ]   *","-1.682 [ -3.661 ; 0.297 ]   -","-0.317 [ -1.574 ; 0.939 ]   -","-0.789 [ -2.203 ; 0.625 ]   -","-4.194 [ -8.339 ; -0.05 ]   *","-1.592 [ -3.887 ; 0.703 ]   -","-2.597 [ -5.342 ; 0.147 ]   *"
"7","SumDiDP","female","-0.54 [ -1.695 ; 0.615 ]   -","-0.282 [ -2.272 ; 1.708 ]   -","2.461 [ 0.295 ; 4.626 ]   **","0.252 [ -0.898 ; 1.402 ]   -","0.479 [ -0.692 ; 1.649 ]   -","1.885 [ -2.64 ; 6.41 ]   -","-0.03 [ -2.612 ; 2.553 ]   -","1.92 [ -0.916 ; 4.757 ]   -"
"8","SumDiDP","male","0.826 [ -0.64 ; 2.291 ]   -","-0.731 [ -2.53 ; 1.068 ]   -","0.949 [ -1.474 ; 3.372 ]   -","-0.247 [ -1.786 ; 1.292 ]   -","0.881 [ -0.851 ; 2.613 ]   -","0.8 [ -4.275 ; 5.875 ]   -","-0.979 [ -3.79 ; 1.832 ]   -","1.775 [ -1.585 ; 5.136 ]   -"
"9","SumDiNP","female","-1.074 [ -2.072 ; -0.076 ]   **","0.238 [ -1.484 ; 1.959 ]   -","-0.66 [ -2.53 ; 1.211 ]   -","0.058 [ -0.937 ; 1.054 ]   -","-1.245 [ -2.255 ; -0.234 ]   **","-1.43 [ -5.342 ; 2.482 ]   -","0.295 [ -1.939 ; 2.53 ]   -","-1.732 [ -4.183 ; 0.719 ]   -"
"10","SumDiNP","male","0.08 [ -1.166 ; 1.325 ]   -","0.796 [ -0.733 ; 2.325 ]   -","0.113 [ -1.948 ; 2.173 ]   -","0.709 [ -0.599 ; 2.017 ]   -","-1.268 [ -2.74 ; 0.203 ]   *","1.697 [ -2.617 ; 6.01 ]   -","1.506 [ -0.883 ; 3.894 ]   -","0.192 [ -2.665 ; 3.049 ]   -"
"11","SumDEHP","female","1.445 [ 0.193 ; 2.697 ]   **","-0.818 [ -2.971 ; 1.336 ]   -","-1.74 [ -4.085 ; 0.605 ]   -","-0.29 [ -1.535 ; 0.954 ]   -","-0.104 [ -1.373 ; 1.164 ]   -","-1.407 [ -6.306 ; 3.492 ]   -","-1.106 [ -3.9 ; 1.689 ]   -","-0.298 [ -3.369 ; 2.774 ]   -"
"12","SumDEHP","male","-0.409 [ -1.793 ; 0.975 ]   -","-0.017 [ -1.716 ; 1.682 ]   -","1.348 [ -0.941 ; 3.637 ]   -","0.737 [ -0.717 ; 2.19 ]   -","0.342 [ -1.293 ; 1.977 ]   -","1.66 [ -3.134 ; 6.453 ]   -","0.719 [ -1.935 ; 3.374 ]   -","0.94 [ -2.234 ; 4.114 ]   -"
"13","SumDnBP","female","0.155 [ -0.932 ; 1.242 ]   -","-0.381 [ -2.255 ; 1.492 ]   -","-1.96 [ -3.998 ; 0.078 ]   *","-0.612 [ -1.695 ; 0.471 ]   -","-0.904 [ -2.006 ; 0.197 ]   -","-2.799 [ -7.059 ; 1.461 ]   -","-0.992 [ -3.423 ; 1.44 ]   -","-1.804 [ -4.474 ; 0.865 ]   -"
"14","SumDnBP","male","0.22 [ -1.549 ; 1.989 ]   -","1.012 [ -1.162 ; 3.185 ]   -","0.446 [ -2.478 ; 3.371 ]   -","-1.602 [ -3.463 ; 0.259 ]   *","0.348 [ -1.745 ; 2.441 ]   -","0.089 [ -6.043 ; 6.221 ]   -","-0.586 [ -3.983 ; 2.811 ]   -","0.668 [ -3.389 ; 4.726 ]   -"
"15","SumDiBP","female","0.428 [ -0.624 ; 1.479 ]   -","2.138 [ 0.326 ; 3.95 ]   **","2.517 [ 0.547 ; 4.488 ]   **","-0.241 [ -1.288 ; 0.806 ]   -","0.364 [ -0.701 ; 1.429 ]   -","4.842 [ 0.722 ; 8.962 ]   **","1.894 [ -0.458 ; 4.245 ]   -","2.945 [ 0.363 ; 5.527 ]   **"
"16","SumDiBP","male","-0.515 [ -1.729 ; 0.7 ]   -","-1.51 [ -3.001 ; -0.019 ]   *","-1.626 [ -3.634 ; 0.383 ]   -","0.26 [ -1.015 ; 1.536 ]   -","-0.535 [ -1.97 ; 0.9 ]   -","-3.398 [ -7.604 ; 0.808 ]   -","-1.252 [ -3.581 ; 1.077 ]   -","-2.142 [ -4.927 ; 0.643 ]   -"
"17","BPA","female","0.416 [ -0.401 ; 1.234 ]   -","-0.003 [ -1.414 ; 1.409 ]   -","0.255 [ -1.277 ; 1.788 ]   -","-0.417 [ -1.233 ; 0.4 ]   -","0.416 [ -0.412 ; 1.243 ]   -","0.251 [ -2.955 ; 3.456 ]   -","-0.419 [ -2.252 ; 1.413 ]   -","0.671 [ -1.336 ; 2.679 ]   -"
"18","BPA","male","0.787 [ -0.34 ; 1.913 ]   -","1.026 [ -0.357 ; 2.409 ]   -","0.804 [ -1.059 ; 2.668 ]   -","-0.116 [ -1.299 ; 1.067 ]   -","1.718 [ 0.387 ; 3.049 ]   **","2.505 [ -1.396 ; 6.406 ]   -","0.911 [ -1.249 ; 3.071 ]   -","1.592 [ -0.993 ; 4.176 ]   -"
"19","BPF","female","0.233 [ -0.523 ; 0.989 ]   -","-0.768 [ -2.074 ; 0.538 ]   -","0.104 [ -1.313 ; 1.521 ]   -","-0.347 [ -1.102 ; 0.408 ]   -","0.026 [ -0.739 ; 0.792 ]   -","-0.78 [ -3.746 ; 2.186 ]   -","-1.114 [ -2.81 ; 0.581 ]   -","0.337 [ -1.52 ; 2.194 ]   -"
"20","BPF","male","-0.004 [ -0.969 ; 0.961 ]   -","1.027 [ -0.157 ; 2.21 ]   *","0.25 [ -1.346 ; 1.845 ]   -","0.682 [ -0.331 ; 1.694 ]   -","-0.53 [ -1.669 ; 0.609 ]   -","1.955 [ -1.385 ; 5.294 ]   -","1.708 [ -0.141 ; 3.557 ]   *","0.246 [ -1.966 ; 2.458 ]   -"
"21","SumDINCH","female","-0.835 [ -1.75 ; 0.079 ]   *","0.009 [ -1.569 ; 1.587 ]   -","-1.167 [ -2.882 ; 0.547 ]   -","0.033 [ -0.88 ; 0.946 ]   -","0.274 [ -0.652 ; 1.2 ]   -","-1.956 [ -5.542 ; 1.63 ]   -","0.041 [ -2.007 ; 2.09 ]   -","-2.002 [ -4.248 ; 0.244 ]   *"
"22","SumDINCH","male","-0.483 [ -1.429 ; 0.462 ]   -","0.009 [ -1.152 ; 1.17 ]   -","-1.188 [ -2.753 ; 0.376 ]   -","0.329 [ -0.663 ; 1.322 ]   -","-0.661 [ -1.778 ; 0.456 ]   -","-1.339 [ -4.614 ; 1.935 ]   -","0.337 [ -1.476 ; 2.15 ]   -","-1.673 [ -3.842 ; 0.496 ]   -"
"23","SumDEHTP","female","-0.033 [ -0.82 ; 0.755 ]   -","-0.112 [ -1.471 ; 1.247 ]   -","0.321 [ -1.155 ; 1.798 ]   -","0.292 [ -0.494 ; 1.078 ]   -","0.517 [ -0.281 ; 1.315 ]   -","0.469 [ -2.619 ; 3.558 ]   -","0.179 [ -1.585 ; 1.944 ]   -","0.289 [ -1.646 ; 2.223 ]   -"
"24","SumDEHTP","male","0.463 [ -0.508 ; 1.435 ]   -","-0.345 [ -1.537 ; 0.847 ]   -","0.606 [ -1.001 ; 2.212 ]   -","-0.262 [ -1.281 ; 0.757 ]   -","0.696 [ -0.451 ; 1.843 ]   -","0.46 [ -2.902 ; 3.822 ]   -","-0.608 [ -2.469 ; 1.254 ]   -","1.069 [ -1.159 ; 3.296 ]   -"
